dbn,neighborhood,total_students,hs_enroll,non_hs,grades2018,PK,Grade_K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Borough,finalgrades,program1,program2,program3,program4,program5,program6,program7,program8,program9,program10,language_classes,advancedplacement_courses,diplomaendorsements,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,specialized,admissionspriority11,admissionspriority21,Year,n_Female,pct_Female,n_Male,pct_Male,n_Asian,pct_Asian,n_Black,pct_Black,n_Hispanic,pct_Hispanic,n_Multiple_Race_Categories_Not_Represented,pct_Multiple_Race_Categories_Not_Represented,n_White,pct_White,n_Students_with_Disabilities,pct_Students_with_Disabilities,n_English_Language_Learners,pct_English_Language_Learners,n_Poverty,pct_Poverty,Economic_Need_Index,graduation_quartile
31R080,Todt Hill-Heartland Village,1313,470,832,K to 12,36,74,87,90,92,103,102,98,94,92,134,111,110,115,STATEN IS,K to 12,Comprehensive Academic for New Students,Comprehensive Academic for Current Students,NA,NA,NA,NA,NA,NA,NA,NA,"Italian, Spanish","AP Biology, AP Calculus AB, AP Comparative Government and Politics, AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics",NA,0.91,0.9,0.8,0.58,NA,NA,NA,2019-20,640,0.478,698,0.522,123,0.092,279,0.209,376,0.281,28,0.021,532,0.398,394,0.294,16,0.012,625,46.7%,49.1%,3
10X437,Belmont,356,369,0,9 to 12,0,0,0,0,0,0,0,0,0,0,143,79,81,66,BRONX,9 to 12,Fordham High School for the Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Calculus AB, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Studio Art: 2-D Design, AP U.S. Government and Politics, AP U.S. History","Arts, Math",0.9,0.88,0.78,0.69,NA,Priority to Bronx students or residents,Then to New York City residents,2019-20,261,0.707,108,0.293,5,0.014,126,0.341,226,0.612,5,0.014,7,0.019,85,0.23,9,0.024,314,85.1%,81.3%,3
19K504,East New York,264,233,0,9 to 12,0,0,0,0,0,0,0,0,0,0,50,79,85,19,BROOKLYN,9 to 12,High School for Civil Rights and Law,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Biology, AP Calculus AB, AP English Language and Composition, AP U.S. History",NA,0.73,0.84,0.92,0.39,NA,Priority to Brooklyn students or residents,Then to New York City residents,2019-20,99,0.425,134,0.575,3,0.013,146,0.627,73,0.313,7,0.03,4,0.017,71,0.305,35,0.15,188,80.7%,87.4%,2
05M157,Central Harlem North,241,233,0,9 to 12,0,0,0,0,0,0,0,0,0,0,79,65,42,47,MANHATTAN,9 to 12,The Urban Assembly School for Global Commerce,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandarin, Spanish","AP English Literature and Composition, AP Statistics, AP U.S. Government and Politics",NA,0.78,0.88,0.67,NA,NA,Priority to Manhattan students or residents,Then to New York City residents,2019-20,113,0.485,120,0.515,1,0.004,104,0.446,121,0.519,3,0.013,4,0.017,78,0.335,25,0.107,205,88.0%,93.8%,2
09X324,E. Concourse-Concourse Village,522,283,183,6 to 12,0,0,0,0,0,0,0,54,70,59,88,76,66,53,BRONX,6 to 12,Pre-International Baccalaureate Diploma Honors Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,NA,NA,0.92,0.95,0.66,0.81,NA,Priority to continuing 8th graders,Then to New York City residents,2019-20,226,0.485,240,0.515,10,0.021,127,0.273,320,0.687,3,0.006,6,0.013,108,0.232,38,0.082,407,87.3%,90.4%,3
15K463,Park Slope-Gowanus,215,270,0,9 to 12,0,0,0,0,0,0,0,0,0,0,85,74,64,47,BROOKLYN,9 to 12,CYBERaRTS Studio Academy,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,"AP Computer Science, AP English Literature and Composition",NA,0.52,0.67,0.56,0.49,NA,Priority to District 15 students or residents,Then to Brooklyn students or residents,2019-20,134,0.496,136,0.504,13,0.048,128,0.474,106,0.393,6,0.022,17,0.063,56,0.207,43,0.159,203,75.2%,81.9%,1
26Q566,Bellerose,1073,1012,0,9 to 12,0,0,0,0,0,0,0,0,0,0,293,272,216,231,QUEENS,9 to 12,Teaching Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Psychology, AP Statistics, AP U.S. History",NA,0.96,0.96,0.69,0.84,NA,Priority to students attending PS/IS 266Q and PS/MS 208Q,Then to Districts 26 and 29 students or residents,2019-20,530,0.524,482,0.476,210,0.208,522,0.516,167,0.165,60,0.059,53,0.052,188,0.186,24,0.024,626,61.9%,45.8%,4
11X455,Co-op City,2000,2172,0,9 to 12,0,0,0,0,0,0,0,0,0,0,786,532,460,394,BRONX,9 to 12,Law and Legal Studies/Law Enforcement Academy,Computer Technology,Culinary Arts,Media Communication and Video Journalism,Air Force Junior ROTC,Pre-Engineering and Applied Mathematics,Arts Academy,Zoned,NA,NA,"American Sign Language, French, Italian, Spanish","AP Biology, AP Calculus AB, AP Chemistry, AP English Literature and Composition, AP European History, AP Spanish, AP Statistics, AP Studio Art: Drawing, AP U.S. History",NA,0.7,0.83,0.82,0.35,NA,Priority to Bronx students or residents,Then to New York City residents,2019-20,888,0.409,1284,0.591,73,0.034,1059,0.488,905,0.417,55,0.025,80,0.037,519,0.239,158,0.073,1624,74.8%,77.9%,1
08X282,Castle Hill-Clason Point,281,230,0,9 to 12,0,0,0,0,0,0,0,0,0,0,65,63,50,52,BRONX,9 to 12,Women's Academy of Excellence,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,NA,"Math, Science",0.86,0.92,0.6,0.51,NA,Open to New York City residents,NA,2019-20,230,1,0,0,18,0.078,77,0.335,99,0.43,6,0.026,30,0.13,46,0.2,48,0.209,214,93.0%,94.1%,3
12X521,West Farms-Bronx River,429,422,0,9 to 12,0,0,0,0,0,0,0,0,0,0,125,119,110,68,BRONX,9 to 12,The Metropolitan Soundview High School,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italian, Spanish","AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP U.S. History",NA,0.64,0.8,0.7,0.54,NA,Priority to Bronx students or residents,Then to New York City residents,2019-20,194,0.46,228,0.54,10,0.024,85,0.201,314,0.744,5,0.012,8,0.019,102,0.242,60,0.142,393,93.1%,89.0%,1
22K535,Manhattan Beach,1011,977,0,9 to 12,0,0,0,0,0,0,0,0,0,0,169,301,242,265,BROOKLYN,9 to 12,Leon M. Goldstein High School for the Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arabic, Italian, Mandarin, Spanish","AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Human Geography, AP Macroeconomics, AP Physics, AP Psychology, AP Spanish, AP Statistics, AP U.S. Government and Politics, AP U.S. History, AP World History","Math, Science",0.97,0.99,0.84,0.78,NA,Open to New York City residents,NA,2019-20,540,0.553,437,0.447,269,0.275,59,0.06,92,0.094,11,0.011,546,0.559,170,0.174,7,0.007,470,48.1%,44.6%,4
29Q326,Jamaica,353,370,0,9 to 12,0,0,0,0,0,0,0,0,0,0,100,97,94,79,QUEENS,9 to 12,Cambria Heights Academy,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandarin, Spanish","AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics, AP U.S. History",NA,0.82,0.82,0.68,0.72,NA,Priority to Queens students or residents,Then to New York City residents,2019-20,157,0.424,213,0.576,48,0.13,258,0.697,42,0.114,17,0.046,5,0.014,68,0.184,30,0.081,268,72.4%,60.6%,2
05M362,Morningside Heights,702,406,292,6 to 12,0,0,0,0,0,0,0,96,99,97,103,111,100,92,MANHATTAN,6 to 12,Columbia Secondary School,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American Sign Language, Arabic, French, Japanese, Latin, Portuguese, Russian, Spanish","AP Biology, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Spanish","Math, Science",1.01,0.95,0.81,0.89,NA,Priority to continuing 8th graders,Then to New York City residents,2019-20,352,0.504,346,0.496,65,0.093,129,0.185,255,0.365,44,0.063,205,0.294,122,0.175,3,0.004,324,46.4%,50.1%,4
15K448,Carroll Gardens-Red Hook,681,359,281,6 to 12,0,0,0,0,0,0,0,98,97,86,112,79,90,78,BROOKLYN,6 to 12,Brooklyn Collaborative Studies for New Students,Brooklyn Collaborative Studies for Current Students,NA,NA,NA,NA,NA,NA,NA,NA,"American Sign Language, French, Other Language, Spanish",NA,NA,0.96,0.89,0.78,0.79,NA,Priority to Brooklyn students or residents,Then to New York City residents,2019-20,321,0.502,319,0.498,25,0.039,203,0.317,268,0.419,22,0.034,122,0.191,185,0.289,31,0.048,413,64.5%,66.1%,4
27Q351,Breezy Point-Rockaway Park,329,327,0,9 to 12,0,0,0,0,0,0,0,0,0,0,110,86,53,78,QUEENS,9 to 12,Rockaway Collegiate High School,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP English Literature and Composition, AP Environmental Science, AP Statistics, AP U.S. History",NA,0.66,0.83,0.56,0.39,NA,Priority to Queens students or residents,Then to New York City residents,2019-20,153,0.468,174,0.532,6,0.018,178,0.544,117,0.358,4,0.012,22,0.067,92,0.281,40,0.122,294,89.9%,84.8%,1
10X549,Van Cortlandt Village,456,449,0,9 to 12,0,0,0,0,0,0,0,0,0,0,129,98,103,119,BRONX,9 to 12,Discovery High School,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spanish,"AP English Language and Composition, AP Environmental Science, AP Spanish, AP U.S. Government and Politics, AP U.S. History",NA,0.81,0.89,0.75,0.47,NA,Priority to Bronx students or residents,Then to New York City residents,2019-20,204,0.454,245,0.546,21,0.047,82,0.183,336,0.748,3,0.007,7,0.016,112,0.249,87,0.194,404,90.0%,91.0%,2
